Marca;Tipo;Tamaño;Cantidad;Precio;Precio por Un;;;;;;;;;;;;
Estrella;Premium p;p;30;1271,2;42,37;;;;;;;;;;;;
Estrella;Premium m;m;9;525,6;58,4;;;;;;;;;;;;
Estrella;Premium xg;xg;36;2081,6;57,82;;;;;;;;;;;;
Estrella;Extra absorción;xxg;34;2081,6;61,22;;;;;;;;;;;;
Estrella;Caricia de algodón;xxg;8;525,6;65,7;;;;;;;;;;;;
Estrella;Preium caricia de;xxxg;30;2265,6;75,52;Tama�o;;;;;;;;;;;
Huggies;Supreme care;rn;34;3214;94,53;rn;;;;;rn;p;m;g;xg;xxg;xxxg
Huggies;Protec plus;p;50;2786;55,72;p;;;;Supreme care;94,53;70,40;76,69;86,92;;57,68;
Huggies;Active sec;p;50;3382;67,64;p;;;;Protec plus;;55,72;58,18;65,93;76,08;79,12;82,42
Huggies;Supreme care;p;50;3520;70,4;p;;;;Active sec;;67,64;67,46;76,97;88,81;;
Huggies;Little swimmers;m;11;1646;149,64;m;;;;Little swimmers;;;149,64;;;;
Huggies;Proteccion plus;m;68;3956;58,18;m;;;;;;;;;;;
Huggies;Active sec;m;68;4587;67,46;m;;;;;;;;;;;
Huggies;Supreme care;m;68;5215;76,69;m;;;;;;;;;;;
Huggies;Proteccion plus;g;60;3956;65,93;g;Confort sec;rn;20;882;44,1;;;;;;
Huggies;Active sec;g;60;4618;76,97;g;Premium care;rn;56;3419;61,05;;;;;;
Huggies;Supreme care;g;60;5215;86,92;g;Premium care;rn;36;2374;65,94;;;;;;
Huggies;Proteccion plus;xg;52;3956;76,08;xg;Premium care;p;36;1524,9;42,36;;;;;;
Huggies;Active sec;xg;52;4618;88,81;xg;Confort sec plus;p;56;2853;50,95;;;;;;
Huggies;Triple protección;xxg;50;2884;57,68;xxg;Splashers para agua;p-m;12;1250,6;104,22;;;;;;
Huggies;Proteccion plus;xxg;50;3956;79,12;xxg;Supersec m;m;48;1957;40,77;;;;;;
Huggies;Protect plus;xxxg;48;3956;82,42;xxxg;Pants m;m;48;2147,6;44,74;;;;;;
Pampers;Confort sec;rn;20;882;44,1;;Premium care;m;52;3233,1;62,17;;;;;;
Pampers;Premium care;rn;56;3419;61,05;;Confort sec plus;m;52;4024;77,38;;;;;;
Pampers;Premium care;rn;36;2374;65,94;;Splashers para agua;m-g;11;1250,6;113,69;;;;;;
Pampers;Premium care;p;36;1524,9;42,36;;Supersec g;g;40;1957;48,92;;;;;;
Pampers;Confort sec plus;p;56;2853;50,95;;Pants g;g;40;2147,6;53,69;;;;;;
Pampers;Splashers para agua;p-m;12;1250,6;104,22;;Premium care hipoalergénico;g;44;3306,55;75,15;;;;;;
Pampers;Supersec m;m;48;1957;40,77;;Premium care max;g;30;2444,65;81,49;;;;;;
Pampers;Pants m;m;48;2147,6;44,74;;Confort sec plus;g;44;4024;91,45;;;;;;
Pampers;Premium care;m;52;3233,1;62,17;;Splashers para agua;g-xg;10;1250,6;125,06;;;;;;
Pampers;Confort sec plus;m;52;4024;77,38;;Confort sec plus;xg;36;4024;111,78;;;;;;
Pampers;Splashers para agua;m-g;11;1250,6;113,69;;Supersec plus;xg;58;3430;59,14;;;;;;
Pampers;Supersec g;g;40;1957;48,92;;Supersec xg;xg;32;1957;61,16;;;;;;
Pampers;Pants g;g;40;2147,6;53,69;;Pants xg;xg;34;2147,6;63,16;;;;;;
Pampers;Premium care hipoalergénico;g;44;3306,55;75,15;;Premium care;xg;36;3233,1;89,81;;;;;;
Pampers;Premium care max;g;30;2444,65;81,49;;Confort sec plus;xxg;34;4024;118,35;;;;;;
Pampers;Confort sec plus;g;44;4024;91,45;;Pants grandecitos;xxg;18;3546;197;;;;;;
Pampers;Splashers para agua;g-xg;10;1250,6;125,06;;Supersec plus;xxg;54;3430;63,52;;;;;;
Pampers;Confort sec plus;xg;36;4024;111,78;;Premium care;xxg;34;3233,1;95,09;;;;;;
Pampers;Supersec plus;xg;58;3430;59,14;;;;;;;;;;;;
Pampers;Supersec xg;xg;32;1957;61,16;;;;;;;;;;;;
Pampers;Pants xg;xg;34;2147,6;63,16;;;;;;;;;;;;
Pampers;Premium care;xg;36;3233,1;89,81;;;;;;;;;;;;
Pampers;Confort sec plus;xxg;34;4024;118,35;;;;;;;;;;;;
Pampers;Pants grandecitos;xxg;18;3546;197;;;;;;;;;;;;
Pampers;Supersec plus;xxg;54;3430;63,52;;;;;;;;;;;;
Pampers;Premium care;xxg;34;3233,1;95,09;;;;;;;;;;;;
